id,parent,focus,signal,slack,drag,confidence,score,lane,kind,invariant,mutation
m001,g001,spread pressure,119,73,39,61,666,ship,baseline,monotonic-signal,raise-signal
m002,g002,fill risk,77,34,45,92,470,ship,edge,drag-penalty,drop-slack
m003,g003,portfolio drift,64,69,15,52,468,ship,recovery,confidence-floor,raise-drag
m004,g004,quote width,105,13,12,84,590,ship,negative,lane-boundary,lower-confidence
m005,g005,spread pressure,94,58,15,38,538,ship,baseline,monotonic-signal,raise-signal
m006,g006,fill risk,78,37,18,99,548,ship,edge,drag-penalty,drop-slack
m007,g007,portfolio drift,34,45,28,91,352,ship,recovery,confidence-floor,raise-drag
m008,g008,quote width,104,11,24,35,460,ship,negative,lane-boundary,lower-confidence
m009,g009,spread pressure,107,32,6,74,628,ship,baseline,monotonic-signal,raise-signal
m010,g010,fill risk,99,0,20,92,540,ship,edge,drag-penalty,drop-slack
m011,g011,portfolio drift,103,71,35,62,608,ship,recovery,confidence-floor,raise-drag
m012,g012,quote width,108,34,34,82,596,ship,negative,lane-boundary,lower-confidence
m013,g013,spread pressure,79,53,8,73,552,ship,baseline,monotonic-signal,raise-signal
m014,g014,fill risk,55,19,27,66,336,ship,edge,drag-penalty,drop-slack
m015,g015,portfolio drift,95,56,45,24,450,ship,recovery,confidence-floor,raise-drag
m016,g016,quote width,30,72,45,38,250,ship,negative,lane-boundary,lower-confidence
m017,g017,spread pressure,54,12,29,69,320,ship,baseline,monotonic-signal,raise-signal
m018,g018,fill risk,56,9,22,82,362,ship,edge,drag-penalty,drop-slack
m019,g019,portfolio drift,65,26,27,93,444,ship,recovery,confidence-floor,raise-drag
m020,g020,quote width,117,32,42,47,542,ship,negative,lane-boundary,lower-confidence
m021,g021,spread pressure,112,37,12,91,680,ship,baseline,monotonic-signal,raise-signal
m022,g022,fill risk,99,31,41,51,478,ship,edge,drag-penalty,drop-slack
m023,g023,portfolio drift,101,12,22,96,576,ship,recovery,confidence-floor,raise-drag
m024,g024,quote width,61,35,24,24,314,ship,negative,lane-boundary,lower-confidence
m025,g025,spread pressure,54,54,30,98,460,ship,baseline,monotonic-signal,raise-signal
m026,g026,fill risk,40,50,35,90,370,ship,edge,drag-penalty,drop-slack
m027,g027,portfolio drift,85,32,46,47,406,ship,recovery,confidence-floor,raise-drag
m028,g028,quote width,111,55,42,60,590,ship,negative,lane-boundary,lower-confidence
m029,g029,spread pressure,93,69,45,91,602,ship,baseline,monotonic-signal,raise-signal
m030,g030,fill risk,30,0,6,61,230,ship,edge,drag-penalty,drop-slack
m031,g031,portfolio drift,50,50,16,94,456,ship,recovery,confidence-floor,raise-drag
m032,g032,quote width,63,74,33,59,452,ship,negative,lane-boundary,lower-confidence
m033,g033,spread pressure,39,18,5,65,312,ship,baseline,monotonic-signal,raise-signal
m034,g034,fill risk,105,52,13,23,544,ship,edge,drag-penalty,drop-slack
m035,g035,portfolio drift,58,53,26,50,386,ship,recovery,confidence-floor,raise-drag
m036,g036,quote width,38,50,35,55,292,ship,negative,lane-boundary,lower-confidence
m037,g037,spread pressure,40,16,12,81,330,ship,baseline,monotonic-signal,raise-signal
m038,g038,fill risk,75,26,23,92,490,ship,edge,drag-penalty,drop-slack
m039,g039,portfolio drift,57,15,37,59,302,ship,recovery,confidence-floor,raise-drag
m040,g040,quote width,51,76,14,77,482,ship,negative,lane-boundary,lower-confidence
m041,g041,spread pressure,61,39,7,50,408,ship,baseline,monotonic-signal,raise-signal
m042,g042,fill risk,56,47,5,95,498,ship,edge,drag-penalty,drop-slack
m043,g043,portfolio drift,61,35,34,36,318,ship,recovery,confidence-floor,raise-drag
m044,g044,quote width,111,61,39,84,656,ship,negative,lane-boundary,lower-confidence
m045,g045,spread pressure,105,77,26,89,700,ship,baseline,monotonic-signal,raise-signal
m046,g046,fill risk,48,6,42,46,212,ship,edge,drag-penalty,drop-slack
m047,g047,portfolio drift,71,25,16,72,446,ship,recovery,confidence-floor,raise-drag
m048,g048,quote width,86,31,15,77,530,ship,negative,lane-boundary,lower-confidence
m049,g049,spread pressure,106,37,20,60,578,ship,baseline,monotonic-signal,raise-signal
m050,g050,fill risk,106,31,24,93,624,ship,edge,drag-penalty,drop-slack
m051,g051,portfolio drift,70,47,34,71,448,ship,recovery,confidence-floor,raise-drag
m052,g052,quote width,56,17,30,51,300,ship,negative,lane-boundary,lower-confidence
m053,g053,spread pressure,61,40,33,22,302,ship,baseline,monotonic-signal,raise-signal
m054,g054,fill risk,54,48,36,49,338,ship,edge,drag-penalty,drop-slack
m055,g055,portfolio drift,102,66,25,67,624,ship,recovery,confidence-floor,raise-drag
m056,g056,quote width,86,37,32,67,488,ship,negative,lane-boundary,lower-confidence
m057,g057,spread pressure,90,60,40,91,582,ship,baseline,monotonic-signal,raise-signal
m058,g058,fill risk,38,63,4,58,386,ship,edge,drag-penalty,drop-slack
m059,g059,portfolio drift,64,13,27,89,406,ship,recovery,confidence-floor,raise-drag
m060,g060,quote width,37,55,39,36,252,ship,negative,lane-boundary,lower-confidence
m061,g061,spread pressure,80,9,8,94,510,ship,baseline,monotonic-signal,raise-signal
m062,g062,fill risk,91,12,15,35,428,ship,edge,drag-penalty,drop-slack
m063,g063,portfolio drift,104,68,48,96,648,ship,recovery,confidence-floor,raise-drag
m064,g064,quote width,71,58,34,75,482,ship,negative,lane-boundary,lower-confidence
m065,g065,spread pressure,67,55,32,45,404,ship,baseline,monotonic-signal,raise-signal
m066,g066,fill risk,99,10,12,71,534,ship,edge,drag-penalty,drop-slack
m067,g067,portfolio drift,79,42,31,89,516,ship,recovery,confidence-floor,raise-drag
m068,g068,quote width,72,20,11,46,398,ship,negative,lane-boundary,lower-confidence
m069,g069,spread pressure,125,11,27,92,652,ship,baseline,monotonic-signal,raise-signal
m070,g070,fill risk,98,33,36,70,526,ship,edge,drag-penalty,drop-slack
m071,g071,portfolio drift,92,63,49,63,522,ship,recovery,confidence-floor,raise-drag
m072,g072,quote width,93,40,5,8,458,ship,negative,lane-boundary,lower-confidence
m073,g073,spread pressure,106,66,9,48,634,ship,baseline,monotonic-signal,raise-signal
m074,g074,fill risk,102,1,12,66,518,ship,edge,drag-penalty,drop-slack
m075,g075,portfolio drift,64,22,22,79,414,ship,recovery,confidence-floor,raise-drag
m076,g076,quote width,49,30,18,77,374,ship,negative,lane-boundary,lower-confidence
m077,g077,spread pressure,98,36,21,57,536,ship,baseline,monotonic-signal,raise-signal
m078,g078,fill risk,112,31,45,88,596,ship,edge,drag-penalty,drop-slack
m079,g079,portfolio drift,39,47,24,48,298,ship,recovery,confidence-floor,raise-drag
m080,g080,quote width,50,52,25,80,414,ship,negative,lane-boundary,lower-confidence
m081,g081,spread pressure,68,22,31,34,322,ship,baseline,monotonic-signal,raise-signal
